gauge_id,ghi_stn_id,cwc_site_name,river_basin,cwc_river,ghi_group,flow_availability
3037,goda_kamga,Kamgarpur,Godavari,Godavari/Pranhita/Penganga,G2,0.00
3038,goda_kanha,Kanhargaon,Godavari,Godavari/Pranhita/Wardha/Penganga,G1,57.95
3039,goda_kapsi,Kapsi,Godavari,Godavari/Pranhita/Wardha,G2,0.00
3040,goda_keola,Keolari,Godavari,Godavari/Pranhita/Wainganga,G1,78.39
3041,goda_kerla,Kerlapal,Godavari,Malenger,G2,3.16
3042,goda_kiwai,Kiwaibalenga,Godavari,Godavari/Indravati/Bawardhi,G2,8.05
3043,goda_koida,Koida,Godavari,Godavari,G1,64.48
3044,goda_kokri,Kokriwada,Godavari,Godavari/Pranhita/Pench/Kanhan,G2,0.00
3045,goda_konta,Konta,Godavari,Godavari/Sabari,G1,90.45
3046,goda_koper,Kopergaon,Godavari,Godavari,G2,6.34
3047,goda_kosag,Kosagumda,Godavari,Godavari/Indravati/Baskal,G2,43.04
3048,goda_kumha,Kumhari,Godavari,Godavari/Pranhita/Wainganga,G1,79.67
3049,goda_kunav,Kunavaram,Godavari,Godavari,G2,0.01
3050,goda_kuntu,Kunturla,Godavari,Machkund,G2,1.35
3051,goda_lasur,Lasur,Godavari,Godavari/Shiv,G2,2.13
3052,goda_lodhi,Lodhikheda,Godavari,Godavari/Pranhita/Jam/Wardha,G2,0.00
3053,goda_mahag,Mahagaon,Godavari,Godavari/Pranhita/Wardha/Pus,G2,0.00
3054,goda_mahal,Mahalgaon,Godavari,Godavari/Pranhita/Wainganga,G2,0.00
3055,goda_manch,Mancherial,Godavari,Godavari,G1,93.15
3056,goda_mangr,Mangrul,Godavari,Godavari/Pranhita/Wardha/Penganga/Aran,G1,59.98
3057,goda_mirda,Mirdapalli,Godavari,Godavari/Pranhita/Indravati,G2,56.17
3058,goda_mouda,Mouda,Godavari,Godavari/Pranhita/Waianganga/Kanhan,G2,0.00
3059,goda_mungo,Mungoli (Township),Godavari,Godavari/Pranhita/Penganga,G2,0.00
3060,goda_naga1,Nagaram,Godavari,Maner,G2,0.35
3061,goda_naga2,Nagari,Godavari,Godavari/Pranhita/Wardha/Pothra,G2,0.01
3062,goda_nainp,Nainpur,Godavari,Godavari/Pranhita/Thanwar,G2,0.00
3063,goda_nande,Nanded,Godavari,Godavari,G2,8.28
3064,goda_nandg,Nandgaon,Godavari,Godavari/Pranhita/Wardha/Wunna,G1,78.42
3065,goda_nasik,Nasik,Godavari,Godavari,G2,0.00
3066,goda_nizam,Nizam Sagar,Godavari,Godavari/Manjira,G2,0.00
3067,goda_nmdwi,NMD Wier,Godavari,Godavari,G2,0.00
3068,goda_nowra,Nowrangpur,Godavari,Godavari/Indravati,G1,90.34
3069,goda_pache,Pachegaon,Godavari,Godavari/Pravara,G2,38.09
3070,goda_patal,Patala,Godavari,Godavari/Pranhita/Wardha,G2,0.00
3071,goda_patha,Pathagudem,Godavari,Godavari/Indravati,G1,92.26
3072,goda_pauni,Pauni,Godavari,Godavari/Pranhita/Wainganga,G1,63.11
3073,goda_perur,Perur,Godavari,Godavari,G1,94.32
3074,goda_pgbri,P.G.Bridge,Godavari,Godavari/Pranhita/Wardha/Penganga,G2,84.11
3075,goda_polav,Polavaram,Godavari,Godavari,G1,94.03
3076,goda_potte,Potteru (Seasonal),Godavari,Godavari/Sabari/Potteru Vagu,G1,38.78
3077,goda_prata,Pratappur,Godavari,Pravara,G2,1.01
3078,goda_purad,Purad,Godavari,Godavari/Pranhita/Wardha/Nirguda,G2,0.00
3079,goda_purna,Purna,Godavari,Godavari/Purna,G2,73.87
3080,goda_rajah,Rajahmundry,Godavari,Godavari,G2,0.00
3081,goda_rajeg,Rajegaon,Godavari,Godavari/Pranhita/Bagh,G1,77.65
3082,goda_rajol,Rajoli,Godavari,Godavari/Pranhita/Wardha/Andhari/Mul,G1,74.01
3083,goda_ramak,Ramakona,Godavari,Godavari/Pranhita/Kanhan,G1,77.40
3084,goda_ruixx,Rui,Godavari,Godavari/Pranhita/Penganga/Kaydhu,G2,0.00
3085,goda_saiga,Saigaon,Godavari,Godavari/Manjira,G2,56.14
3086,goda_sakhr,Sakhra,Godavari,Godavari/Pranhita/Wainganga,G2,0.00
3087,goda_sakmu,Sakmur,Godavari,Godavari/Pranhita/Wardha,G1,60.46
3088,goda_sakol,Sakoli Bridge,Godavari,Godavari/Pranhita//Wainganga/Chulband,G2,0.00
3089,goda_saleb,Salebardi,Godavari,Godavari/Pranhita/Wainganga/Chulband,G1,73.16
3090,goda_saloo,Saloora,Godavari,Manjeera,G2,1.00
3091,goda_sang2,Sangam (Murredu),Godavari,Godavari/Kinnerasani/Murredu,G2,30.90
3092,goda_sarad,Saradaput,Godavari,Godavari/Sabari,G1,89.98
3093,goda_sarek,Sarekha,Godavari,Godavari/Pranhita/Hirri,G2,0.00
3094,goda_satra,Satrapur,Godavari,Godavari/Pranhita/Wainganga/Kanhan,G1,79.85
3095,goda_selux,Selu,Godavari,Godavari/Pranhita/Wardha/Bor,G2,0.00
3096,goda_singu,Singur,Godavari,Godavari/Manjira,G2,0.00
3097,goda_sirim,Sirimoda,Godavari,Kolab,G2,0.11
3098,goda_soman,Somanpally (Seasonal),Godavari,Godavari/Maner,G1,83.73
3099,goda_sonar,Sonarpal,Godavari,Godavari/Indravati/NarangiMarkandi,G1,59.78
3100,goda_srira,Sriram Sagar,Godavari,Godavari,G2,0.00
3101,goda_sukma,Sukma,Godavari,Godavari/Sabari,G2,0.06
3102,goda_talna,Talnar,Godavari,Sabari,G2,0.52
3103,goda_tekra,Tekra,Godavari,Godavari/Pranhita/Pranhita,G1,92.87
3104,goda_temni,Temni,Godavari,Godavari/Pranhita/Son,G2,0.00
3105,goda_tumna,Tumnar,Godavari,Godavari/Indravati/Dantewara,G1,61.81
3106,goda_uppe2,Upper Indravati Dam,Godavari,Indravati,G2,0.00
3107,goda_waira,Wairagarh,Godavari,Godavari/Pranhita/Wainganga/Khobragarhi,G1,58.37
3108,goda_waras,Waraseoni,Godavari,Godavari/Pranhita/Chandan,G2,0.00
3109,goda_yelli,Yelli,Godavari,Godavari,G1,89.67
3110,goda_zarix,Zari,Godavari,Godavari/Purna Dudhna,G2,36.89
4001,kris_almat,Almatti dam,Krishna,Krishna,G2,0.00
4002,kris_anant,Anantharam,Krishna,Aleru,G2,5.53
4003,kris_arjun,Arjunwad (Seasonal),Krishna,Krishna,G1,87.35
4004,kris_bawap,Bawapuram,Krishna,Krishna/Tungabhadra,G1,95.00
4005,kris_byala,Byaladahalli,Krishna,Krishna/Tungabhadra/Tunga,G1,69.66
4006,kris_chola,Cholachugudda,Krishna,Krishna/Malaprabha,G1,72.42
4007,kris_damer,Dameracherla,Krishna,Krishna/Musi,G1,95.26
4008,kris_daund,Daund,Krishna,Krishna/Bhima,G1,0.00
4009,kris_deong,Deongaon Bridge,Krishna,Krishna/Bhima,G2,0.00
4010,kris_deosu,Deosugur,Krishna,Krishna,G1,8.39
4011,kris_doddi,Doddipadu,Krishna,Hundri,G2,9.44
4012,kris_halia,Halia,Krishna,Krishna/Halia,G1,84.35
4013,kris_haral,Haralahalli,Krishna,Krishna/Tungabhadra,G1,92.89
4014,kris_harih,Hariharapura,Krishna,Krishna/Tungabhadra/Tunga,G2,0.01
4015,kris_holeh,Holehonnur,Krishna,Krishna/Tungabhadra/Tunga,G1,35.04
4016,kris_honna,Honnali,Krishna,Krishna/Tungabhadra,G2,78.74
4017,kris_huvin,Huvinhedigi,Krishna,Krishna,G1,94.32
4018,kris_jeewa,Jeewangi,Krishna,Krishna/Bhima/Kagna,G1,64.47
4019,kris_kagra,K. Agraharam,Krishna,Krishna,G1,63.51
4020,kris_kalma,Kalmane,Krishna,Krishna/Tungabhadra/Malathi,G2,0.01
4021,kris_karad,Karad,Krishna,Krishna,G1,95.04
4022,kris_keesa,Keesara,Krishna,Krishna/Munneru,G1,95.36
4023,kris_kello,Kellodu,Krishna,Krishna Tungabhadra/Vedavathi,G1,61.99
4024,kris_kokan,Kokangaon,Krishna,Krishna/Bhima/Borinala,G1,66.53
4025,kris_kuppe,Kuppellur,Krishna,Krishna Tungabhadra/Kumudavathi,G1,58.87
4026,kris_kurun,Kurundwad,Krishna,Krishna,G1,95.54
4027,kris_lakka,Lakkavalli,Krishna,Krishna/Tungabhadra/Bhadra,G2,0.01
4028,kris_madhi,Madhira,Krishna,Krishna/Munneru/Wyra,G1,84.42
4029,kris_mahis,Mahishi,Krishna,Krishna/Tungabhadra/Tunga,G2,0.01
4030,kris_malkh,Malkhed,Krishna,Krishna/Bhima/,G1,69.54
4031,kris_mantr,Mantralayam,Krishna,Krishna/Tungabhadra,G1,94.72
4032,kris_marol,Marol,Krishna,Krishna Tungabhadra/Varada,G1,67.39
4033,kris_miraw,Mirawadi,Krishna,Mula,G2,1.41
4034,kris_mudho,Mudhol,Krishna,Krishna/Ghatprabha,G1,23.60
4035,kris_munug,Munugodu,Krishna,Eddu Vagu,G2,4.33
4036,kris_nagar,Nagarjuna Sagar Dam,Krishna,Krishna,G2,0.00
4037,kris_nandr,Nandre,Krishna,Yerla,G2,1.36
4038,kris_narsi,Narsingpur,Krishna,Krishna/Bhima,G1,95.30
4039,kris_naval,Navalagund,Krishna,Krishna/Malaprabha/Bennihalla,G1,36.71
4040,kris_oolle,Oollenur,Krishna,Krishna/Tungabhadra,G1,56.64
4041,kris_paler,Paleru Bridge,Krishna,Krishna/Paleru,G1,78.95
4042,kris_parag,Paragon,Krishna,Bhima,G2,0.00
4043,kris_pdjur,P.D. Jurala,Krishna,Krishna,G2,0.00
4044,kris_phulg,Phulgaon (Seasonal),Krishna,Krishna/Bhima,G1,54.59
4045,kris_polam,Polampalli,Krishna,Krishna/Munneru,G2,0.00
4046,kris_praka,PrakasamBarrage,Krishna,Krishna,G2,0.00
4047,kris_sadal,Sadalga (Seasonal),Krishna,Krishna/Dudhganga,G1,69.89
4048,kris_samdo,Samdoli (Seasonal),Krishna,Krishna/Varna,G1,86.44
4049,kris_sarat,Sarati,Krishna,Krishna/Bhima/Nira,G1,87.93
4050,kris_shimo,Shimoga,Krishna,Tungabhadra/Tunga,G1,90.75
4051,kris_shird,Shirdhon,Krishna,Krishna/Bhima/Borinala/Doddanala,G1,66.91
4052,kris_srisa,Srisailam,Krishna,Krishna,G2,0.00
4053,kris_sudda,Suddakallu,Krishna,Dindi,G2,3.25
4054,kris_takli,Takli,Krishna,Krishna/Bhima,G1,95.46
4055,kris_talik,Talikot,Krishna,Krishna/Don,G1,39.85
4056,kris_terwa,Terwad (Seasonal),Krishna,Krishna/Panchganga,G1,83.18
4057,kris_trama,T. Ramapuram (Seasonal),Krishna,Krishna/Tungabhadra/Hagari,G1,84.89
4058,kris_tungb,Tungbhadra Dam,Krishna,Krishna/Tungabhadra,G2,0.00
4059,kris_veerl,Veerlapalem,Krishna,Tungapadu,G2,4.51
4060,kris_vijay,Vijayawada,Krishna,Krishna,G2,84.90
4061,kris_wadak,Wadakbal,Krishna,Krishna/Bhima/Sina,G1,95.34
4062,kris_waden,Wadenapally,Krishna,Krishna,G1,95.43
4063,kris_warun,Warunjli,Krishna,Krishna/Koyna,G1,95.35
4064,kris_yadgi,Yadgir,Krishna,Krishna/Bhima,G1,95.48
5001,cauv_akkih,Akkihebbal,Cauvery,Hemavati,G1,40.46
5002,cauv_bilig,Biligundulu,Cauvery,Cauvery,G1,95.00
5003,cauv_chunc,Chunchunkatte,Cauvery,Cauvery,G1,23.22
5004,cauv_elunu,Elunuthimangalam,Cauvery,Cauvery/Noyyal,G1,46.24
5005,cauv_hogen,Hogenakkal,Cauvery,Cauvery/Chinnar,G1,50.65
5006,cauv_homma,Hommaragalli,Cauvery,Cauvery/Kabini,G2,0.00
5007,cauv_kmvad,K.M.Vadi,Cauvery,Cauvery/Lakshmanthirtha,G1,91.65
5008,cauv_kodum,Kodumudi,Cauvery,Cauvery,G1,94.16
5009,cauv_kokke,Kokkedoddy,Cauvery,Cauvery/Arkavathy,G2,0.22
5010,cauv_kudig,Kudige,Cauvery,Cauvery,G1,94.87
5011,cauv_laksh,Lakshmanapatti,Cauvery,Cauvery/Kodaganar,G2,0.21
5012,cauv_musir,Musiri,Cauvery,Cauvery,G1,87.28
5013,cauv_mutha,Muthankera,Cauvery,Cauvery/Kabini,G1,95.16
5014,cauv_nall1,Nallamaranpatty,Cauvery,Cauvery/Amaravathi,G1,90.24
5015,cauv_nelli,Nellithurai,Cauvery,Cauvery/Bhavani,G1,89.42
5016,cauv_odent,Odenthurai,Cauvery,Cauvery/Kallar,G2,1.06
5017,cauv_sakle,Sakleshpur,Cauvery,Cauvery/Hemavati,G1,40.63
5018,cauv_savan,Savandapur,Cauvery,Cauvery/Bhavani,G1,94.99
5019,cauv_sevan,Sevanur,Cauvery,Cauvery/Chittar,G2,18.40
5020,cauv_tanda,Tandalaiputhur,Cauvery,Cauvery/Ayyar,G2,0.00
5021,cauv_tbeku,T.Bekuppe,Cauvery,Cauvery/Arkavati,G2,31.87
5022,cauv_then1,Thengumarahada,Cauvery,Cauvery/Bhavani/Moyar,G1,94.99
5023,cauv_thevu,Thevur,Cauvery,Cauvery/Sarabenga,G1,42.50
5024,cauv_thimm,Thimmanahalli,Cauvery,Cauvery/Hemavati/Yagachi,G1,41.25
5025,cauv_thopp,Thoppur,Cauvery,Cauvery/Thoppaiyar,G1,31.52
5026,cauv_thore,Thoreshettyhalli,Cauvery,Cauvery/Shimsha,G2,0.00
5027,cauv_tkhal,T.K.Halli,Cauvery,Cauvery/Shimsha,G1,90.11
5028,cauv_tnara,T.Narasipur,Cauvery,Cauvery/Kabini,G2,91.59
5029,cauv_urach,Urachikottai,Cauvery,Cauvery,G1,92.05
6001,sube_adity,Adityapur,Subernarekha,Subarnarekha/Kharkai,G1,95.33
6002,sube_barip,Baripada,Subernarekha,Burhabalang,G2,0.00
6003,sube_chand,Chandanpur,Subernarekha,Burhabalang/Katranala,G2,0.00
6004,sube_dsofc,D/S of Chandil Dam,Subernarekha,Subarnarekha,G2,0.00
6005,sube_fekog,Fekoghat,Subernarekha,Subarnarekha/Dulung,G2,26.71
6006,sube_ghats,Ghatsila,Subernarekha,Subarnarekha,G1,91.50
6007,sube_govin,Govindapur,Subernarekha,Burhabalang,G1,65.83
6008,sube_jams1,Jamshedpur,Subernarekha,Subarnarekha,G1,91.50
6009,sube_jams2,Jamsholaghat,Subernarekha,Subarnarekha,G2,8.38
6010,sube_jaypu,Jaypur,Subernarekha,Burhabalang/Sone,G2,0.00
6011,sube_rajgh,Rajghat,Subernarekha,Subarnarekha,G2,5.09
7001,brba_altum,Altuma,Brahmani-Baitarani,Brahmani/Ramyala,G1,64.33
7002,brba_anand,Anandpur,Brahmani-Baitarani,Baitarni,G1,95.27
7003,brba_bhuba,Bhuban,Brahmani-Baitarani,Brahmani,G2,0.00
7004,brba_bolan,Bolani,Brahmani-Baitarani,Brahmani,G2,0.00
7005,brba_champ,Champua,Brahmani-Baitarani,Baitarni,G1,69.50
7006,brba_gohir,Gohira,Brahmani-Baitarani,Brahmani,G2,0.00
7007,brba_gomla,Gomlai,Brahmani-Baitarani,Brahmani,G1,95.33
7008,brba_jarai,Jaraikela,Brahmani-Baitarani,Brahmani/Koel,G1,95.33
7009,brba_jenap,Jenapur,Brahmani-Baitarani,Brahmani,G1,95.32
7010,brba_kamak,Kamakhyanagar Bridge,Brahmani-Baitarani,Brahmani,G2,0.00
7011,brba_panpo,Panposh,Brahmani-Baitarani,Brahmani,G2,40.32
7012,brba_renga,Rengali (Seasonal),Brahmani-Baitarani,Brahmani,G2,0.00
7013,brba_swamp,Swampatna,Brahmani-Baitarani,Baitarni,G2,0.00
7014,brba_talch,Talcher,Brahmani-Baitarani,Brahmani,G2,26.49
7015,brba_tilga,Tilga,Brahmani-Baitarani,Brahmani/Sankh,G1,95.33
8001,maha_andhi,Andhiyarkhore,Mahanadi,Mahanadi/Seonath/Hamp,G1,94.70
8002,maha_aramp,Arampur,Mahanadi,Mahanadi/Sindolijore,G2,0.00
8003,maha_bamni,Bamnidhi,Mahanadi,Mahanadi/Hasdeo,G1,95.55
8004,maha_bango,Bangodam,Mahanadi,Mahanadi/Hasdeo,G2,0.00
8005,maha_baron,Baronda,Mahanadi,Mahanadi/Pairi,G1,93.36
8006,maha_basan,Basantpur,Mahanadi,Mahanadi,G1,95.36
8007,maha_boudh,Boudh,Mahanadi,Mahanadi,G2,9.16
8008,maha_dhara,Dharamjaigarh,Mahanadi,Mahanadi/Mand,G2,0.00
8009,maha_ghato,Ghatora,Mahanadi,Mahanadi/Seonath,G1,94.65
8010,maha_gunde,Gunderdehi,Mahanadi,Tandula,G2,5.72
8011,maha_jondh,Jondhra,Mahanadi,Mahanadi/Seonath,G1,94.34
8012,maha_kalma,Kalma,Mahanadi,Mahanadi,G2,5.80
8013,maha_kanta,Kantamal,Mahanadi,Mahanadi/Tel,G1,94.72
8014,maha_katag,Kataghora,Mahanadi,Ahiran,G2,0.00
8015,maha_keloa,Kelo at Raigarh,Mahanadi,Mahanadi/Kelo,G2,28.43
8016,maha_kesin,Kesinga,Mahanadi,Mahanadi/Tel,G1,94.42
8017,maha_khair,Khairmal,Mahanadi,Mahanadi,G2,0.00
8018,maha_khand,Khandapara,Mahanadi,Mahanadi/Kusumi,G2,0.00
8019,maha_korba,Korba,Mahanadi,Mahanadi/Hasdeo,G2,0.00
8020,maha_kotni,Kotni,Mahanadi,Mahanadi/Seonath,G1,95.43
8021,maha_kurub,Kurubhata,Mahanadi,Mahanadi/Mand,G1,87.82
8022,maha_maleg,Malegaon,Mahanadi,Pairi,G2,0.00
8023,maha_manen,Manendragarh,Mahanadi,Mahanadi/Hasdeo,G1,71.45
8024,maha_mohul,Mohulpali,Mahanadi,Mahanadi/Bheden,G2,0.00
8025,maha_padam,Padampur,Mahanadi,Ong,G2,7.75
8026,maha_padma,Padmabati,Mahanadi,Mahanadi,G2,0.00
8027,maha_param,Paramanpur,Mahanadi,Mahanadi/Bheden,G2,8.84
8028,maha_patha,Patharidih,Mahanadi,Mahanadi/Seonath/Kharun,G1,70.97
8029,maha_rajim,Rajim,Mahanadi,Mahanadi,G1,85.81
8030,maha_rampu,Rampur,Mahanadi,Mahanadi/Jonk,G1,87.69
8031,maha_saleb,Salebhata,Mahanadi,Mahanadi/Ong,G1,94.81
8032,maha_sanka,Sankara,Mahanadi,Mahanadi/Jonk,G2,0.00
8033,maha_saran,Sarangpal,Mahanadi,Mahanadi,G2,0.00
8034,maha_seori,Seorinarayan,Mahanadi,Mahanadi,G1,81.20
8035,maha_simga,Simga,Mahanadi,Mahanadi/Seonath,G1,95.16
8036,maha_sunde,Sundergarh,Mahanadi,Mahanadi/Ib,G1,94.66
8037,maha_thett,Thettatanagar,Mahanadi,Mahanadi/Ib,G2,0.00
8038,maha_tikar,Tikarapara,Mahanadi,Mahanadi,G1,92.01
9001,penn_allad,Alladupalli,Pennar,Pennar/Kunderu,G1,81.50
9002,penn_chenn,Chennur,Pennar,Pennar,G1,71.37
9003,penn_dipur,Dipuru,Pennar,Boggeru,G2,0.00
9004,penn_kalas,Kalasapadu,Pennar,Sagileru,G2,0.01
9005,penn_kamal,Kamalapuram,Pennar,Pennar/Papagani,G1,64.27
9006,penn_nagal,Nagalamedike,Pennar,Pennar,G2,8.60
9007,penn_nanda,Nandalur,Pennar,Cheyyeru,G2,2.38
9008,penn_nandi,Nandipalli,Pennar,Pennar/Sagaileru,G1,64.85
9009,penn_nello,Nellore,Pennar,Pennar,G2,31.78
9010,penn_rayac,Rayachoti,Pennar,Cheyyuru,G2,0.00
9011,penn_singa,Singavaram,Pennar,Pennar/Chitravathi,G1,89.38
9012,penn_tadap,Tadapatri,Pennar,Pennar,G1,89.11
10001,mahi_amarp,Amarpura,Mahi,Som,G2,0.00
10002,mahi_anasp,Anas PH-II,Mahi,Mahi/Anas,G2,0.00
10003,mahi_borwa,Borwa,Mahi,Mahi,G2,0.00
10004,mahi_chaka,Chakaliya,Mahi,Mahi/Anas,G1,56.69
10005,mahi_dhari,Dhariawad,Mahi,Mahi/Som/Jakham,G1,64.05
10006,mahi_kadan,Kadana Dam,Mahi,Mahi,G2,0.00
10007,mahi_khand,Khandiovari,Mahi,Som/Gomti,G2,1.52
10008,mahi_khanp,Khanpur,Mahi,Mahi,G1,94.31
10009,mahi_mahid,Mahi Dam,Mahi,Mahi,G2,0.00
10010,mahi_mataj,Mataji,Mahi,Mahi,G1,86.40
10011,mahi_pader,Paderdibadi,Mahi,Mahi,G1,93.98
10012,mahi_panam,Panam Dam,Mahi,Mahi/Panam,G2,0.00
10013,mahi_pinga,Pingalwada,Mahi,Dhadhar (Independent river),G2,72.04
10014,mahi_range,Rangeli,Mahi,Mahi/som,G1,90.47
10015,mahi_somka,Somkamla Amba Dam,Mahi,Mahi/som,G2,0.00
10016,mahi_wanak,Wanakbori,Mahi,Mahi,G2,0.00
11001,saba_derol,Derol Bridge,Sabarmati,Sabarmati,G1,57.70
11002,saba_dharo,Dharoi Dam,Sabarmati,Sabarmati,G2,0.00
11003,saba_harna,Harnav Weir,Sabarmati,Sabarmati/Harnav,G2,0.00
11004,saba_hathm,Hathmati Weir,Sabarmati,Sabarmati/Hathamati,G2,0.00
11005,saba_jotas,Jotasan,Sabarmati,Sabarmati/Wakal,G2,39.72
11006,saba_khero,Kheroj,Sabarmati,Sabarmati,G2,47.30
11007,saba_ratan,Ratanpur,Sabarmati,Sabarmati/Watrak,G2,48.68
11008,saba_seida,Sei Dam,Sabarmati,Sabarmati/Sei,G2,0.00
11009,saba_subha,Subhash Bridge,Sabarmati,Sabarmati,G2,0.00
11010,saba_vauth,Vautha,Sabarmati,Sabarmati,G1,44.12
11011,saba_watra,Watrak Dam,Sabarmati,Sabarmati/Watrak,G2,0.00
12001,narm_bamni,Bamni,Narmada,Narmada/Banjar,G1,41.15
12002,narm_baran,Barangi,Narmada,Machak,G2,0.00
12003,narm_bargi,Barginagar,Narmada,Narmada,G2,0.00
12004,narm_barma,Barmanghat,Narmada,Narmada,G1,91.85
12005,narm_barwa,Barwah,Narmada,Choral,G2,0.00
12006,narm_belkh,Belkheri,Narmada,Narmada/Sher,G1,95.32
12007,narm_bhamg,Bhamgarh,Narmada,Chota Tawa,G2,0.00
12008,narm_bharu,Bharuch,Narmada,Narmada,G2,0.00
12009,narm_chanw,Chanwada,Narmada,Narmada/Orsang,G2,57.27
12010,narm_charg,Chargaon,Narmada,Narmada/Saner,G2,0.00
12011,narm_charu,Charuwa,Narmada,Kalimachak,G2,0.00
12012,narm_chhid,Chhidgaon,Narmada,Narmada/Ganjal,G1,94.62
12013,narm_dahiw,Dahiwar,Narmada,Karam,G2,0.00
12014,narm_dholp,Dholpur,Narmada,Narmada/Sip,G2,0.00
12015,narm_dhuls,Dhulsar,Narmada,Narmada/Uri,G1,36.80
12016,narm_dindo,Dindori,Narmada,Narmada,G1,73.01
12017,narm_dudhw,Dudhwas,Narmada,Datuni,G2,0.00
12018,narm_gadar,Gadarwara,Narmada,Narmada/Sakkar,G1,92.63
12019,narm_gadas,Gadasarai,Narmada,Chrkar,G2,0.00
12020,narm_garud,Garudeshwar,Narmada,Narmada,G1,93.96
12021,narm_ghung,Ghunghara,Narmada,Belkund,G2,0.00
12022,narm_gidha,Gidha,Narmada,Machrar,G2,0.00
12023,narm_gopal,Gopalpura,Narmada,Maan,G2,0.00
12024,narm_gorak,Gorakhpur,Narmada,Narmada,G2,0.00
12025,narm_handi,Handia,Narmada,Narmada,G1,95.19
12026,narm_hosha,Hoshangabad,Narmada,Narmada,G1,95.55
12027,narm_indir,Indirasagar Dam,Narmada,Narmada,G2,0.00
12028,narm_khaju,Khajuri,Narmada,Narmada/Deb,G2,0.00
12029,narm_kogao,Kogaon,Narmada,Narmada/Kundi,G1,85.74
12030,narm_kotra,Kotrai,Narmada,Silgi,G2,0.00
12031,narm_maalp,Maalpur,Narmada,Narmada,G2,0.00
12032,narm_maata,Maatamar,Narmada,Pariyat,G2,0.00
12033,narm_maheh,Mahehwar,Narmada,Narmada/Tenduni,G2,0.00
12034,narm_mand1,Mandla,Narmada,Narmada,G2,0.00
12035,narm_mand2,Mandleshwar,Narmada,Narmada,G1,96.13
12036,narm_manot,Manot,Narmada,Narmada,G1,95.59
12037,narm_matku,Matkuli,Narmada,Narmada/Denva,G2,0.00
12038,narm_mohga,Mohgaoan,Narmada,Narmada/Burhner,G1,95.76
12039,narm_morta,Mortakka,Narmada,Narmada,G1,19.31
12040,narm_mukki,Mukki,Narmada,Narmada/Banjar,G2,0.00
12041,narm_panag,Panagar,Narmada,Narmada/Dhudhi,G2,0.00
